Frame_Number,Vehicle_ID,Vehicle_Bbox,License_Plate_Bbox,License_Plate_Bbox_Score,License_Number,License_Number_Score
103,1.0,"[1028.524030503317, 551.7773236880801, 1279.4045191915804, 773.1010910299788]","[1104.49072265625, 689.3428344726562, 1208.504150390625, 732.16259765625]",0.4056204855442047,AP05JEO,0.3335232690021197
104,1.0,"[1028.3340103522778, 553.3718191518745, 1279.820710898189, 774.8956394261393]","[1106.533935546875, 691.9662841796875, 1207.0498046875, 733.8900634765625]",0.0,,0.0
105,1.0,"[1028.143990201239, 554.966314615669, 1280.2369026047975, 776.6901878222997]","[1108.5771484375, 694.5897338867187, 1205.595458984375, 735.617529296875]",0.0,,0.0
106,1.0,"[1027.9539700501998, 556.5608100794634, 1280.6530943114062, 778.4847362184602]","[1110.620361328125, 697.21318359375, 1204.14111328125, 737.3449951171875]",0.0,,0.0
107,1.0,"[1027.763949899161, 558.1553055432579, 1281.0692860180147, 780.2792846146206]","[1112.66357421875, 699.8366333007813, 1202.686767578125, 739.0724609375]",0.0,,0.0
108,1.0,"[1027.5739297481218, 559.7498010070524, 1281.4854777246233, 782.0738330107811]","[1114.706787109375, 702.4600830078125, 1201.232421875, 740.7999267578125]",0.2618695497512817,AP05JED,0.0907890585221917
109,1.0,"[1028.11651152026, 561.677276155779, 1282.1093836219736, 784.6315237567808]","[1112.0526123046875, 702.557861328125, 1214.109619140625, 742.031005859375]",0.3176463842391968,AP05JEO,0.177857725917406
110,1.0,"[1027.3870083989364, 563.026539060594, 1282.353674972253, 786.6179025086694]","[1112.3016967773438, 703.2428588867188, 1212.9652099609375, 743.9302978515625]",0.0,,0.0
111,1.0,"[1026.6575052776125, 564.375801965409, 1282.5979663225326, 788.6042812605581]","[1112.55078125, 703.9278564453125, 1211.82080078125, 745.82958984375]",0.3141622245311737,AF05JEO,0.7327682046119206
112,1.0,"[1027.291835589541, 566.1034292554311, 1284.7463173792573, 790.4984311647293]","[1112.1175537109375, 705.6520080566406, 1214.621337890625, 749.1564331054688]",0.0,,0.0
113,1.0,"[1027.9261659014696, 567.8310565454534, 1286.894668435982, 792.3925810689005]","[1111.684326171875, 707.3761596679688, 1217.421875, 752.4832763671875]",0.3834099471569061,AF05JEO,0.698900114759561
114,1.0,"[1027.081665982555, 568.834008888751, 1287.686511709332, 794.2711855238533]","[1112.74609375, 709.8269958496094, 1216.929443359375, 754.8697814941406]",0.0,,0.0
115,1.0,"[1026.2371660636404, 569.8369612320487, 1288.478354982682, 796.1497899788062]","[1113.807861328125, 712.27783203125, 1216.43701171875, 757.2562866210938]",0.4841749668121338,AF05JEQ,0.2549075434693602
116,1.0,"[1026.0805057690382, 571.803512569285, 1289.097146775141, 799.1566068262468]","[1113.1963500976562, 715.1964721679688, 1217.7692260742188, 756.8443908691406]",0.0,,0.0
117,1.0,"[1025.923845474436, 573.7700639065214, 1289.7159385676, 802.1634236736874]","[1112.5848388671875, 718.1151123046875, 1219.1014404296875, 756.4324951171875]",0.2688853740692138,AP05JEO,0.3452541763435184
118,1.0,"[1025.6895673551785, 575.8070365130761, 1290.1328239917157, 804.1661098422805]","[1112.656982421875, 719.9046020507812, 1220.489501953125, 761.3792724609375]",0.3743952214717865,JP05JEO,0.5216476275025527
119,1.0,"[1026.3279022851252, 578.1103896751937, 1291.6847799071459, 807.0780158447378]","[1112.953857421875, 723.1328430175781, 1220.447998046875, 765.4902648925781]",0.0,,0.0
120,1.0,"[1026.966237215072, 580.4137428373112, 1293.236735822576, 809.9899218471951]","[1113.250732421875, 726.361083984375, 1220.406494140625, 769.6012573242188]",0.3729643523693084,XF05JEO,0.1835752687591574
121,1.0,"[1025.5381440720892, 581.4390728307721, 1293.2067438248725, 812.5996517123256]","[1113.6072998046875, 727.871337890625, 1219.518798828125, 770.9384765625]",0.4300120174884796,AP05JED,0.1821878211205836
122,1.0,"[1025.4927298473683, 583.6446680304696, 1294.4722954368374, 815.957206730476]","[1113.739990234375, 730.08740234375, 1222.13623046875, 775.0369262695312]",0.3275482356548309,AP05JEO,0.3375259343428076
123,1.0,"[1023.3254205639236, 586.48540406494, 1294.4053906042145, 818.9009128033399]","[1112.296875, 731.075927734375, 1220.7799072265625, 780.8037109375]",0.4230170845985412,AP05JEQ,0.2316068123854342
124,1.0,"[1020.6967863609203, 587.9206401744851, 1294.4287114772533, 820.6725442055548]","[1115.13671875, 731.7877807617188, 1216.00244140625, 778.453125]",0.4451014101505279,AF05JEQ,0.4400821146810371
125,1.0,"[1022.1573850172798, 590.8944311015164, 1296.0649316871197, 822.981188574299]","[1113.0263671875, 732.9248657226562, 1223.8436279296875, 780.4359741210938]",0.5322840809822083,AP05JEO,0.3568078459149925
