Frame_Number,Vehicle_ID,Vehicle_Bbox,License_Plate_Bbox,License_Plate_Bbox_Score,License_Number,License_Number_Score
4,3.0,[368.2919767956389 695.9979118860899 712.6428501639493 1010.9848885878039],[468.4018249511719 887.3637084960938 602.1900634765625 951.3781127929688],0.3843270540237427,NA13MRU,0.5791892705250345
5,3.0,[367.7386188449781 698.7443890506406 716.0577860710508 1015.7878293739525],[462.6852722167969 891.83642578125 593.9672241210938 954.884765625],0.338064968585968,NA13MPU,0.22437678658926444
8,3.0,[359.5213359322723 706.9152653366831 713.1890321677267 1030.6648936602746],[462.03106689453125 902.142578125 592.8509521484375 972.3992919921875],0.2835119366645813,NA13MRU,0.17391855521991018
10,3.0,[350.90698533975194 711.4919815818694 706.3091821149604 1036.7376043575018],[455.6146240234375 912.1241455078125 593.3277587890625 977.108642578125],0.4317263960838318,NA13HRU,0.30166319950469234
11,3.0,[349.2348278219004 714.936646851947 705.0629772467917 1040.7936553582952],[453.11932373046875 916.730712890625 585.4051513671875 979.37109375],0.35827094316482544,NA13NRU,0.5028777083007083
11,5.0,[1096.6385839874767 599.4366264489056 1410.3209142754615 901.7136012745],[1213.406005859375 801.7889404296875 1301.9696044921875 852.9710693359375],0.274371862411499,NJ51VSV,0.30461296896158085
16,3.0,[339.48703259819774 731.4713932271676 700.6551350164813 1058.8996651125246],[445.4043273925781 936.5404052734375 585.698974609375 1003.864990234375],0.371735155582428,NA13MRU,0.26796011463167135
17,3.0,[336.57573537727296 734.8684963360768 698.6920944261491 1062.6945731999572],[449.8027038574219 941.7154541015625 577.8550415039062 1002.9973754882812],0.5044723749160767,NA13NRU,0.37689797212169457
18,3.0,[334.64134016048047 740.6088519237176 696.6289649833834 1067.6550357593687],[440.5855407714844 945.5870361328125 577.728515625 1009.771728515625],0.3712764382362366,NA13NRU,0.6960467915548665
19,5.0,[1099.9257810611407 625.617790351704 1416.3179469198008 931.3480987452682],[1216.182861328125 827.4962158203125 1307.1529541015625 877.263916015625],0.40579351782798767,CD51VSU,0.1312415631518938
20,5.0,[1101.134020686351 625.4602816710253 1420.0360275875214 933.1430369490365],[1214.884765625 826.9663696289062 1310.048828125 878.5427856445312],0.5082457661628723,MU51YSU,0.1599161885761371
21,3.0,[329.81075332332296 753.0019798226153 693.9133948865561 1076.7186136295024],[430.9875183105469 957.601806640625 577.1412963867188 1024.8265380859375],0.3379133343696594,NA13NRU,0.6146800216864227
22,3.0,[327.75520189657885 755.3369105774505 692.7272134124903 1077.631298297901],[429.73809814453125 959.6694946289062 575.3135986328125 1025.7060546875],0.4098777770996094,NA13NRU,0.7744975237282529
24,3.0,[325.04766649126674 760.0889716330541 691.1863833785492 1077.7405570808282],[436.2322082519531 970.29150390625 573.480712890625 1031.716796875],0.2656252384185791,MA13NRU,0.7374345391576987
25,3.0,[324.04716970078414 762.9237057863024 690.4264478327306 1078.1023322198653],[437.58673095703125 975.09521484375 568.97509765625 1038.7532958984375],0.3034796416759491,NA13NRU,0.7867148018610496
27,3.0,[321.1052539989753 770.3168905523642 690.7717905626245 1078.494918406894],[442.897216796875 989.9078979492188 570.220703125 1050.088134765625],0.38914114236831665,NA13KQU,0.14101543095111796
28,3.0,[320.07207853988893 773.4356802974344 690.0347907628985 1078.3998373348952],[438.0904541015625 991.11474609375 564.4658203125 1050.3914794921875],0.33727025985717773,NA13MQU,0.5857707338218051
29,5.0,[1104.0438622923352 639.8926937233003 1432.349775489317 964.3554685691043],[1217.6002197265625 858.84619140625 1316.9273681640625 906.8460693359375],0.39775550365448,LT51VSU,0.09414224469421027
31,3.0,[318.05302770837113 784.4834962637572 686.637089558388 1078.641751235966],[414.817626953125 1001.95458984375 568.794677734375 1072.255126953125],0.31689906120300293,NA13NRU,0.184143136555465
35,5.0,[1108.5225365340407 657.951224043586 1438.4555282628908 987.8298882844764],[1229.14208984375 877.0416870117188 1321.2918701171875 928.9000854492188],0.33304718136787415,WT51VSU,0.03580082338556213
42,5.0,[1110.013564181001 682.7869666689907 1448.5294484006383 1020.1052691332858],[1234.7071533203125 904.90478515625 1334.0946044921875 954.2227783203125],0.43305259943008423,CT51VSU,0.3072256158378672
42,6.0,[567.2877398765978 570.7308064182575 857.3043200271269 798.5641645368773],[666.390625 703.8272094726562 752.4361572265625 758.378173828125],0.2813030183315277,GX15QCJ,0.03124464904288577
43,6.0,[566.5122935861637 572.1732350416136 856.3303303723558 800.7313096842876],[673.3333740234375 704.6583251953125 756.164794921875 757.8968505859375],0.3575499951839447,GU15OGJ,0.08259106934185995
